das Erlebnis; das Leiden; das Missgeschick
der Lerngegenstand; die Kenntnis; die Lehre; die Wissenschaft
unsterblich
meinen; glauben; scheinen
das Heer
anfangen; herrschen; befehlen
beginnen (für sich); anfangen zu sprechen
die Tat; die Sache
Schwierigkeiten machen
Verstand; Einsicht; Meinung
zeigen; darlegen
der andere (von zweien)
so beschaffen; ein solcher
der Kreis; der Ring
menschlich
lassen; zulassen
derselbe; der gleiche
glücklich sein; Glück haben
vorliegen
der erste
die Perser
der Buchstabe; die Schrift
nützlich; brauchbar; tüchtig; anständig
der Brief
Gesetz; Brauch
leicht
würdig (mit Genitiv)
einer Rede wert
die Lobrede
durch; mittels
sich unterhalten; reden mit
der Krieg
der Friede
der Orakelspruch
beobachten; bewahren
königlich
von … her; von
all; jeder
zustimmen; übereinstimmen
als; wenn
das Kind; der Sklave
stärkster; bester
bester; tapferster
auf; bei; wegen